,AL,FL,AL,FL,AL,FL,AL,FL,AL,FL,AL,FL,AL,FL,AL,FL,AL,FL,AL,FL,AL,FL,AL,FL
,fortnite,fortnite,pubg,pubg,pokemon,pokemon,pokemon go,pokemon go,mario,mario,super mario,super mario,league of legends,league of legends,among us,among us,temple run,temple run,subway surfer,subway surfer,agar.io,agar.io,slither.io,slither.io
date,,,,,,,,,,,,,,,,,,,,,,,,
2010-01-01,0,0,0,0,6,7,0,0,100,99,99,83,14,14,1,1,0,0,0,0,0,0,0,0
2010-02-01,0,0,0,0,5,8,0,0,80,78,89,80,14,10,1,1,0,1,0,0,0,0,0,0
2010-03-01,0,0,0,0,11,12,0,0,55,84,79,72,14,15,2,0,0,1,0,0,0,0,0,0
2010-04-01,0,0,0,0,11,13,0,0,54,84,68,79,5,15,5,0,0,0,0,0,0,0,0,0
2010-05-01,0,0,0,0,9,11,0,0,86,96,95,91,20,18,2,1,0,0,0,0,0,0,0,0
2010-06-01,0,0,0,0,10,11,0,0,81,99,93,100,16,28,0,1,0,0,0,0,0,0,0,0
2010-07-01,0,0,0,0,11,11,0,0,60,100,91,90,30,35,1,1,0,0,0,0,0,0,0,0
2010-08-01,0,0,0,0,7,9,0,0,58,91,87,72,33,36,1,1,0,1,0,0,0,0,0,0
2010-09-01,0,0,0,0,6,8,0,0,62,73,65,57,32,35,2,0,0,0,0,0,0,0,0,0
2010-10-01,0,0,0,0,7,8,0,0,60,84,71,65,23,36,1,1,0,1,0,0,0,0,0,0
2010-11-01,0,0,0,0,7,7,0,0,68,86,66,66,49,38,1,1,0,0,0,0,0,0,0,0
2010-12-01,0,0,0,0,11,8,0,0,60,97,89,94,38,35,0,0,0,0,0,0,0,0,0,0
2011-01-01,0,0,0,0,8,7,0,0,57,77,94,61,35,34,2,0,0,0,0,0,0,0,0,0
2011-02-01,0,0,0,0,9,10,0,0,53,68,81,51,55,42,1,1,1,0,0,6,0,0,0,0
2011-03-01,0,0,0,0,19,18,0,0,61,68,78,48,60,46,1,0,0,0,0,0,0,0,0,0
2011-04-01,0,0,0,0,15,14,0,0,63,68,74,52,53,50,1,1,0,0,0,0,0,0,0,0
2011-05-01,0,0,0,0,11,10,0,0,63,70,59,51,47,53,1,0,0,0,0,0,0,0,0,0
2011-06-01,0,0,0,0,11,11,0,0,61,75,84,63,79,63,1,1,0,0,0,0,0,0,0,0
2011-07-01,0,0,0,0,12,11,0,0,76,79,100,67,72,78,1,0,0,0,0,0,0,0,0,0
2011-08-01,0,0,0,0,9,9,0,0,60,73,59,55,76,75,1,0,0,0,0,0,0,0,0,0
2011-09-01,0,0,0,0,7,7,0,0,53,67,68,48,78,67,1,0,0,0,0,0,0,0,0,0
2011-10-01,0,0,0,0,8,7,0,0,57,64,60,44,85,72,2,0,2,1,0,0,0,0,0,0
2011-11-01,0,0,0,0,7,7,0,0,63,70,72,53,63,50,1,1,1,4,0,0,0,0,0,0
2011-12-01,0,0,0,0,8,8,0,0,74,82,82,58,58,53,1,1,13,12,0,0,0,0,0,0
2012-01-01,0,0,0,0,6,7,0,0,56,67,59,50,37,55,1,0,100,92,0,0,0,0,0,0
2012-02-01,0,0,0,0,9,8,0,0,49,62,52,42,83,55,1,0,99,100,0,0,0,0,0,0
2012-03-01,0,0,0,0,10,9,0,0,54,72,65,45,58,56,1,1,66,78,0,0,0,0,0,0
2012-04-01,0,0,0,0,9,9,0,0,49,63,37,38,67,69,0,1,51,51,0,0,0,0,0,0
