,,1/1/10,2/1/10,3/1/10,4/1/10,5/1/10,6/1/10,7/1/10,8/1/10,9/1/10,10/1/10,11/1/10,12/1/10,1/1/11,2/1/11,3/1/11,4/1/11,5/1/11,6/1/11,7/1/11,8/1/11,9/1/11,10/1/11,11/1/11,12/1/11,1/1/12,2/1/12,3/1/12,4/1/12,5/1/12,6/1/12,7/1/12,8/1/12,9/1/12,10/1/12,11/1/12,12/1/12,1/1/13,2/1/13,3/1/13,4/1/13,5/1/13,6/1/13,7/1/13,8/1/13,9/1/13,10/1/13,11/1/13,12/1/13,1/1/14,2/1/14,3/1/14,4/1/14,5/1/14,6/1/14,7/1/14,8/1/14,9/1/14,10/1/14,11/1/14,12/1/14,1/1/15,2/1/15,3/1/15,4/1/15,5/1/15,6/1/15,7/1/15,8/1/15,9/1/15,10/1/15,11/1/15,12/1/15,1/1/16,2/1/16,3/1/16,4/1/16,5/1/16,6/1/16,7/1/16,8/1/16,9/1/16,10/1/16,11/1/16,12/1/16,1/1/17,2/1/17,3/1/17,4/1/17,5/1/17,6/1/17,7/1/17,8/1/17,9/1/17,10/1/17,11/1/17,12/1/17,1/1/18,2/1/18,3/1/18,4/1/18,5/1/18,6/1/18,7/1/18,8/1/18,9/1/18,10/1/18,11/1/18,12/1/18,1/1/19,2/1/19,3/1/19,4/1/19,5/1/19,6/1/19,7/1/19,8/1/19,9/1/19,10/1/19,11/1/19,12/1/19,1/1/20,2/1/20,3/1/20,4/1/20,5/1/20,6/1/20,7/1/20,8/1/20,9/1/20,10/1/20
AL,minecraft,0,0,0,1,1,1,1,2,14,15,13,16,24,24,31,38,38,42,44,45,51,43,42,47,45,50,52,53,71,75,84,87,81,71,61,68,74,78,80,77,88,100,92,91,67,65,69,82,75,69,77,66,74,81,76,64,63,58,62,70,61,63,60,57,59,73,78,58,50,49,58,67,52,46,45,43,43,51,48,34,28,27,30,37,31,27,28,24,25,34,32,22,20,20,19,26,23,19,20,16,20,23,24,18,16,15,18,20,19,19,20,22,32,36,53,46,37,25,24,27,25,25,37,49,41,42,46,40,31,32
AK,minecraft,0,0,1,0,0,4,3,4,16,16,22,29,25,34,39,52,51,38,50,54,59,52,63,54,52,51,51,54,68,76,78,81,70,79,86,84,92,100,96,95,92,90,96,78,65,67,69,75,79,77,86,69,74,74,75,75,60,59,61,75,69,67,67,61,56,63,65,59,49,51,54,73,54,53,53,47,46,48,45,39,33,36,38,43,42,35,36,33,27,36,34,25,26,22,30,29,28,29,26,26,24,24,28,22,18,19,19,28,26,29,34,29,45,44,59,63,45,34,33,44,40,40,58,65,53,49,51,43,47,45
AZ,minecraft,0,0,1,1,0,1,1,2,13,22,18,18,22,27,34,40,37,40,41,46,56,47,46,50,43,50,58,54,69,82,90,86,77,75,70,76,73,74,80,70,81,100,99,82,74,65,73,72,70,64,72,65,68,80,84,74,67,58,60,61,56,50,55,53,60,72,78,61,54,52,54,61,46,41,44,40,42,59,52,33,29,29,28,30,28,26,25,24,26,36,37,24,21,20,21,24,20,17,19,18,20,27,28,21,18,17,17,20,20,20,22,24,37,42,67,57,48,32,26,31,27,28,44,55,51,53,59,49,40,44
AR,minecraft,0,0,1,0,0,2,1,1,13,22,10,18,21,26,27,33,31,35,41,44,57,45,50,48,49,49,61,54,68,68,81,81,66,70,68,87,82,78,88,80,96,98,100,81,63,62,65,92,76,68,76,66,69,83,87,73,56,53,55,56,59,61,66,52,54,72,66,60,41,43,47,52,44,41,39,38,38,47,39,31,29,27,28,34,32,28,26,26,25,30,35,22,21,21,20,23,23,18,20,19,21,21,25,20,15,15,20,22,21,20,22,23,30,37,54,46,34,25,24,28,24,23,37,46,44,42,47,40,26,31
CA,minecraft,0,0,0,0,0,0,1,3,9,12,11,14,26,31,34,45,45,45,46,45,52,45,48,51,46,50,57,58,68,77,84,87,77,71,73,84,84,79,89,84,85,100,98,91,77,65,74,82,75,75,74,73,70,82,87,79,68,57,64,65,60,56,55,51,53,69,69,64,54,51,55,62,59,51,53,47,44,59,54,41,32,30,32,39,35,31,29,31,28,38,41,32,25,23,26,28,26,23,22,20,21,25,28,23,20,17,21,24,23,23,25,29,41,49,72,70,54,35,33,35,33,33,56,70,67,66,69,63,52,56
CO,minecraft,1,0,0,0,0,0,1,2,9,18,16,18,22,26,31,36,41,39,39,40,53,44,48,51,48,53,57,54,68,75,77,74,75,66,70,85,78,82,90,82,90,90,100,82,75,63,73,78,75,72,69,62,66,70,74,61,58,50,58,60,62,59,58,55,58,68,68,57,47,50,57,63,52,53,51,46,47,57,46,35,28,30,31,39,36,33,30,28,27,34,34,25,21,21,24,27,24,23,20,20,21,24,27,24,18,19,21,26,24,26,27,26,38,44,63,59,48,34,32,34,33,36,56,67,62,56,56,48,41,47
CT,minecraft,0,0,1,0,0,1,2,3,14,22,18,21,24,31,36,45,41,46,49,51,57,54,58,54,50,56,61,64,75,85,82,100,79,75,77,47,58,94,87,77,80,91,95,91,65,58,63,77,77,80,75,69,49,61,76,69,51,45,52,53,61,57,53,46,48,61,63,60,46,43,52,52,50,50,41,41,36,50,42,37,25,25,28,32,30,31,27,25,23,29,31,26,20,18,22,24,23,19,21,16,16,17,21,20,15,15,16,19,18,21,23,20,35,38,58,58,38,27,24,31,27,31,45,58,51,53,50,44,34,38
DE,minecraft,0,0,2,0,0,2,2,2,7,16,18,15,14,28,28,33,37,37,39,50,39,42,42,40,40,36,41,43,58,67,81,84,61,63,64,72,71,69,68,65,70,89,100,96,61,55,58,59,67,65,72,54,53,68,77,67,48,45,50,57,73,65,59,41,67,69,66,55,43,50,59,58,53,49,52,48,44,56,41,36,24,29,27,29,31,28,28,25,22,30,30,25,19,19,23,26,23,17,16,15,15,21,17,20,14,13,16,18,18,22,19,21,33,34,46,54,29,24,22,26,25,25,42,46,41,42,53,43,31,37
FL,minecraft,0,0,0,0,1,1,1,3,9,16,14,15,21,29,30,41,40,43,45,41,55,45,47,48,46,49,53,59,72,85,80,78,79,73,66,75,79,75,72,60,66,84,100,87,68,59,64,75,69,65,67,68,66,81,85,70,62,56,60,65,60,55,55,53,58,75,76,63,54,48,50,59,49,44,49,44,43,59,50,39,30,31,29,36,29,25,27,29,25,36,36,28,25,21,22,23,21,18,20,16,21,24,25,21,20,17,18,22,18,21,22,23,38,42,60,57,46,32,27,29,26,27,41,53,49,52,53,45,37,40
GA,minecraft,0,0,0,0,0,1,1,4,13,19,18,22,24,28,30,41,42,40,45,44,53,46,44,47,44,49,52,50,69,70,79,80,71,70,70,77,71,70,80,78,87,96,100,85,71,61,68,81,86,78,72,73,72,80,83,68,65,56,64,70,66,69,62,60,65,77,72,58,55,55,60,66,66,58,53,50,55,66,59,40,36,35,36,43,39,36,32,33,35,43,44,31,28,27,27,34,29,25,23,22,25,30,30,24,21,21,23,29,26,27,28,31,43,48,69,64,53,40,35,41,35,36,54,68,61,61,63,55,45,46
